id_atributo;Nombre;Incluir
BEDROOMS;;
CANONICAL_URL;URL (Cruzar con inmuebliaria);SI
CMG_SITE;;
CONTACT_SCHEDULE;;
COVERED_AREA;;
FACING;Orientacion (Sur, Norte, …);SI
FLOORS;Numero de pisos;SI
FULL_BATHROOMS;;
GUESTS;;
HAS_AIR_CONDITIONING;;
HAS_ALARM;;
HAS_ATTIC;Tiene atico;SI
HAS_BALCONY;Tiene balco;SI
HAS_BEDROOM_SUITE;;
HAS_CABLE_TV;;
HAS_CLOSET;;
HAS_DINNING_ROOM;Tiene comedor;SI
HAS_DRESSING_ROOM;Tiene vestidor;SI
HAS_ELECTRIC_GATE_OPENER;Porton automatico;SI
HAS_ELECTRIC_LIGHT;;
HAS_GARDEN;Tiene jardin;SI
HAS_GRILL;Tiene parillero;SI
HAS_GYM;;
HAS_HALF_BATH;;
HAS_HEATING;Tiene calefaccion;SI
HAS_INDOOR_FIREPLACE;Tiene chimena;SI
HAS_INTERNET_ACCESS;;
HAS_JACUZZI;Tiene jacuzzi;SI
HAS_KITCHEN;Tiene cocina;SI
HAS_LAUNDRY;;
HAS_LIVING_ROOM;;
HAS_MAID_ROOM;Tiene dormitorio de servicio;SI
HAS_NATURAL_GAS;Tiene gas natural;SI
HAS_PATIO;Tiene patio;SI
HAS_PLAYROOM;;
HAS_SECURITY;Tiene seguridad;SI
HAS_STUDY;;
HAS_SWIMMING_POOL;Tiene pscina;SI
HAS_TAP_WATER;;
HAS_TELEPHONE_LINE;;
HAS_TERRACE;;
HOUSE_PROPERTY_SUBTYPE;;
ITEM_CONDITION;;
LAND_ACCESS;;
LAND_AREA;;
MAINTENANCE_FEE;Gastos comunes;SI
OPERATION;;
OPERATION_SUBTYPE;;
PARKING_LOTS;Garage;SI
PROFESSIONAL_USE_ALLOWED;;
PROPERTY_AGE;Antigüedad;SI
PROPERTY_CODE;;
PROPERTY_OWNERSHIP;;
PROPERTY_TYPE;;
ROOMS;;
SUITABLE_FOR_MORTGAGE_LOAN;;
TOTAL_AREA;;
WAREHOUSES;;
WITH_VIRTUAL_TOUR;;
